order_id,order_date,user_id,name,city,membership,restaurant_id,restaurant_name,cuisine,rating,total_amount
1,2023-02-18,2508,User_2508,Hyderabad,Regular,450,New Foods Chinese,Mexican,3.2,842.97
2,2023-01-18,2693,User_2693,Pune,Regular,309,Ruchi Curry House Multicuisine,Indian,4.5,546.68
3,2023-07-15,2084,User_2084,Chennai,Gold,107,Spice Kitchen Punjabi,Mexican,4.0,163.93
4,2023-10-04,319,User_319,Bangalore,Gold,224,Darbar Kitchen Non-Veg,Chinese,4.8,1155.97
5,2023-12-25,1064,User_1064,Pune,Regular,293,Royal Eatery South Indian,Italian,3.0,1321.91
6,2023-07-12,2933,User_2933,Chennai,Regular,499,Annapurna Tiffins South Indian,Mexican,4.9,1497.22
7,2023-05-30,970,User_970,Bangalore,Regular,35,Royal Biryani North Indian,Chinese,3.9,129.21
8,2023-11-07,891,User_891,Pune,Regular,57,Spice Mess Punjabi,Mexican,4.4,269.19
9,2023-12-05,364,User_364,Chennai,Gold,7,Ruchi Biryani Punjabi,Italian,3.2,953.3
10,2023-12-30,2972,User_2972,Bangalore,Regular,183,Taste of Biryani Non-Veg,Chinese,3.7,351.41
11,2023-12-10,924,User_924,Chennai,Regular,235,Amma Delights Family Restaurant,Italian,4.5,523.82
12,2023-10-27,884,User_884,Pune,Gold,423,Royal Tiffins Multicuisine,Indian,3.2,1484.65
13,2023-08-11,1958,User_1958,Chennai,Regular,244,Amma Tiffins South Indian,Italian,4.3,216.59
14,2023-09-24,364,User_364,Chennai,Gold,112,Grand Cafe Punjabi,Chinese,3.2,898.24
15,2023-07-17,1733,User_1733,Pune,Regular,383,Amma Biryani North Indian,Indian,3.1,1098.41
16,2023-07-17,1321,User_1321,Pune,Gold,149,Amma Restaurant South Indian,Mexican,3.6,475.74
17,2023-04-09,1896,User_1896,Pune,Regular,421,Ruchi Foods Chinese,Indian,3.0,1002.51
18,2023-04-23,1617,User_1617,Pune,Gold,414,Darbar Delights South Indian,Chinese,4.7,736.89
19,2023-12-27,330,User_330,Chennai,Regular,73,Spice Mess Andhra,Mexican,3.1,392.59
20,2023-02-03,2567,User_2567,Bangalore,Gold,52,Udupi Curry House South Indian,Mexican,4.9,362.01
21,2023-08-13,1610,User_1610,Pune,Regular,186,Darbar Restaurant North Indian,Indian,4.3,743.68
